# Endeks Bileşenleri (Hisse Senedi - Endeks İlişkisi):
# 
# Bu dosya her hisse senedinin hangi endekslerde yer aldığını gösterir.
# 
# === TEMEL ENDEKSLER ===
# XU030: BIST 30 - En likit 30 hisse
# XU050: BIST 50 - En likit 50 hisse
# XU100: BIST 100 - En likit 100 hisse
# XU500: BIST 500 - Geniş pazar endeksi
# XUTUM: BIST TÜM - Tüm hisseler
# 
# === ÖZEL ENDEKSLER ===
# XYLDZ: BIST YILDIZ - Yıldız şirketler
# XHARZ: BIST HALKA ARZ - Halka arz edilen şirketler
# XSD25: BIST SÜRDÜRÜLEBİLİRLİK 25
# XSRDK: BIST KATILIM SÜRDÜRÜLEBİLİRLİK
# 
# === SEKTÖREL ENDEKSLER ===
# XBANK: BIST BANKA
# XBLSM: BIST BİLİŞİM
# XELKT: BIST ELEKTRİK
# XGIDA: BIST GIDA İÇECEK
# XGMYO: BIST GAYRİMENKUL Y.O.
# XHOLD: BIST HOLDİNG VE YATIRIM
# XTEKS: BIST TEKSTİL DERİ
# XTAST: BIST TAŞ TOPRAK
#
stock_symbol,indices
DZGYO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XGMYO,XGYOS"
EBEBK,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XKTUM,XUHIZ,XTCRT"
ECILC,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUMAL,XHOLD,XSIST"
ECZYT,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUMAL,XHOLD,XSIST"
EDATA,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSANK"
EDIP,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XINSA,XSIST"
EFORC,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XHARZ,XKTUM,XK100,XK050,XUSIN,XSINS,XGIDA"
EGEEN,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XTMTU,XUSIN,XSINS,XMESY,XSIZM"
EGEGY,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUMAL,XGMYO,XGYOS"
EGEPO,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XSIZM"
EGGUB,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XK100,XKTMT,XUSIN,XSINS,XKMYA,XSIZM"
EGPRO,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKTUM,XKTMT,XUSIN,XSINS,XKMYA,XSIZM"
EGSER,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTAST,XSIZM"
